Shiller Historical Data - Stock Market Returns, Dividends, Earnings, Interest Rates, and Inflation
Data compiled by Robert Shiller - http://www.econ.yale.edu/~shiller/data.htm
All data is monthly from January 1871 to present
Column headers: Date, S&P Composite Price, Dividend, Earnings, CPI, Long Interest Rate, Real Price, Real Dividend, Real Earnings, CAPE (PE10)
Date,Price,Dividend,Earnings,CPI,Long_Rate,Real_Price,Real_Dividend,Real_Earnings,CAPE
1871.01,4.44,0.26,0.40,12.46,5.32,89.47,5.23,8.06,
1871.02,4.50,0.26,0.40,12.84,5.32,88.02,5.09,7.83,
1871.03,4.61,0.26,0.40,13.03,5.32,88.79,5.01,7.71,
1871.04,4.74,0.26,0.40,12.56,5.32,94.75,5.20,8.00,
1871.05,4.86,0.26,0.40,12.46,5.32,97.99,5.24,8.07,
1871.06,4.82,0.26,0.40,12.56,5.32,96.38,5.20,8.00,
1871.07,4.73,0.26,0.40,12.75,5.32,93.18,5.12,7.88,
1871.08,4.69,0.26,0.40,12.75,5.32,92.39,5.12,7.88,
1871.09,4.62,0.26,0.40,12.65,5.32,91.70,5.16,7.95,
1871.10,4.53,0.26,0.40,12.56,5.32,90.60,5.20,8.00,
1871.11,4.39,0.26,0.40,12.56,5.32,87.80,5.20,8.00,
1871.12,4.39,0.26,0.40,12.56,5.32,87.80,5.20,8.00,
1872.01,4.42,0.26,0.49,12.46,5.32,89.05,5.24,9.87,
1872.02,4.47,0.26,0.49,12.37,5.32,90.73,5.28,9.95,
1872.03,4.58,0.26,0.49,12.56,5.32,91.56,5.20,9.79,
1872.04,4.64,0.26,0.49,12.65,5.32,92.09,5.16,9.73,
1872.05,4.64,0.26,0.49,12.75,5.32,91.37,5.12,9.66,
1872.06,4.64,0.26,0.49,12.94,5.32,90.03,5.05,9.50,
1872.07,4.55,0.26,0.49,12.94,5.32,88.28,5.05,9.50,
1872.08,4.49,0.26,0.49,12.84,5.32,87.86,5.09,9.58,
1872.09,4.43,0.26,0.49,12.84,5.32,86.69,5.09,9.58,
1872.10,4.30,0.26,0.49,12.65,5.32,85.37,5.16,9.73,
